coinID,name,symbol,market_cap,circulating_supply
4943,Dai,DAI,5364769364.46,5365382702.66
7083,Uniswap,UNI,4887737607.87,600425073.71
512,Stellar,XLM,3965346603.17,29905687613.70
3635,Cronos,CRO,3832766127.82,26571560696.00
8916,Internet Computer,ICP,3778097483.26,474453732.90
22974,Bittensor,TAO,3693444641.38,7380936.00
28752,dogwifhat,WIF,3507550694.30,998844883.79
20396,Kaspa,KAS,3327147119.63,25153827359.00
1321,Ethereum Classic,ETC,3299768180.32,149551677.09
3773,Artificial Superintelligence Alliance,FET,2978748388.57,2435042536.63
328,Monero,XMR,2711176184.68,18446744.07
4847,Stacks,STX,2708243753.64,1500702311.61
23095,Bonk,BONK,2614256596.17,74974309168415.38
3897,OKB,OKB,2595760430.88,60000000.00
4642,Hedera,HBAR,2460823668.76,37680393060.78
26081,First Digital USD,FDUSD,2395559232.83,2392863606.03
27075,Mantle,MNT,2339880072.76,3366841707.84
7278,Aave,AAVE,2337171236.12,14976607.69
2280,Filecoin,FIL,2308102557.05,598967810.00
11841,Arbitrum,ARB,2295377366.77,3975409060.00
7226,Injective,INJ,2278013601.70,98848019.96
10804,FLOKI,FLOKI,2028942994.32,9603897250896.23
22861,Celestia,TIA,1955300814.27,416504650.15
3077,VeChain,VET,1949369473.01,80985041177.00
10603,Immutable,IMX,1928812283.08,1670248659.39
3794,Cosmos,ATOM,1923112876.07,390934204.00
11092,Bitget Token,BGB,1920571426.09,1400000000.00
11840,Optimism,OP,1883914318.87,1255070491.00
3513,Fantom,FTM,1882648281.17,2803634835.53
5690,Render,RENDER,3409016233.20,517690747.38
23149,Sei,SEI,1829518379.39,4249583333.00
4157,THORChain,RUNE,1825269718.14,338525266.00
6719,The Graph,GRT,1631490906.97,9548531509.17
28321,POL (ex-MATIC),POL,2767155343.71,7771586102.23
30171,Ethena,ENA,1513290555.01,2842187500.00
29743,Brett (Based),BRETT,1442493210.98,9910236395.00
29210,Jupiter,JUP,1431828771.12,1350000000.00
28177,Pyth Network,PYTH,1401165333.89,3624988786.44
6536,MANTRA,OM,1393584467.60,855144971.23
2416,Theta Network,THETA,1285562957.87,1000000000.00
2087,KuCoin Token,KCS,1277764067.16,120257114.15
3602,Bitcoin SV,BSV,1259970574.57,19783931.25
1518,Maker,MKR,1253113297.61,880522.23
4030,Algorand,ALGO,1245344745.23,8273953068.87
8526,Raydium,RAY,1216403560.39,264060321.22
21159,Ondo,ONDO,1163277606.38,1389759838.48
5632,Arweave,AR,1056900091.05,65652466.00
16086,BitTorrent [New],BTT,1051944147.83,968246428571000.00
8425,JasmyCoin,JASMY,1003276073.00,49394999677.17
8000,Lido DAO,LDO,985411676.29,895723570.89
28298,Beam,BEAM,976331304.84,49466004168.00
5665,Helium,HNT,971301423.56,170472132.11
27659,Mog Coin,MOG,921525107.30,390567526433216.70
22691,Starknet,STRK,902824241.29,2099455075.00
4558,Flow,FLOW,879529039.81,1544758530.84
33788,Peanut the Squirrel,PNUT,1669828157.37,999854935.79
7080,Gala,GALA,878470110.15,35748336645.33
28782,Popcat (SOL),POPCAT,1591596422.74,979973184.60
4269,GateToken,GT,863092765.39,91015136.49
10791,eCash,XEC,856677437.14,19784476547584.00
1765,EOS,EOS,845283230.54,1527435821.03
